date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-21 20:58:06,Aminu_Israelb,Aminu_Israelb,0,0,8,"Case Closed...https://twitter.com/Aminu_Israelb/status/1248931241195429890 …",,,,1296914498956201986,https://twitter.com/Aminu_Israelb/status/1296914498956201986
2020-08-18 10:46:51,Aminu_Israelb,I_am_nextwebb,1,0,1,"Wow, congratulations.",,,,1295673508387786752,https://twitter.com/Aminu_Israelb/status/1295673508387786752
2020-08-18 09:26:27,Aminu_Israelb,fawas_ola,0,0,1,"It's an honour.",,,,1295653273601478656,https://twitter.com/Aminu_Israelb/status/1295653273601478656
2020-08-18 09:17:19,Aminu_Israelb,fawas_ola,1,0,1,"Congratulations @fawas_ola , this is really a game-changer for the Tech Community at Lagos State University.",,@fawas_ola,,1295650974598672385,https://twitter.com/Aminu_Israelb/status/1295650974598672385
2020-08-18 09:00:55,Aminu_Israelb,emeka_boris,0,0,1,"Thanks man.",,,,1295646847546068992,https://twitter.com/Aminu_Israelb/status/1295646847546068992
2020-08-18 06:00:10,Aminu_Israelb,,0,8,20,"I just published in @TDataScience Building a suicidal tweet classifier using NLPhttps://towardsdatascience.com/building-a-suicidal-tweet-classifier-using-nlp-ff6ccd77e971?source=social.tw …",,@TDataScience,,1295601363674714113,https://twitter.com/Aminu_Israelb/status/1295601363674714113
2020-08-13 09:32:37,Aminu_Israelb,I_am_nextwebb,0,0,0,"Thanks man.",,,,1293842888904908801,https://twitter.com/Aminu_Israelb/status/1293842888904908801
2020-08-06 14:50:09,Aminu_Israelb,SOdaibo,0,0,1,"Congratulation sir, you continue to inspire us.",,,,1291386084459454473,https://twitter.com/Aminu_Israelb/status/1291386084459454473
2020-08-05 11:46:22,Aminu_Israelb,DataScienceNIG,0,1,10,"Thank you @DataScienceNIG for the privilege to serve!https://twitter.com/DataScienceNIG/status/1290960726685888512 …",,@DataScienceNIG,,1290977444434972672,https://twitter.com/Aminu_Israelb/status/1290977444434972672
2020-08-05 09:02:12,Aminu_Israelb,risingodegua,0,0,5,"Happy birthday Rising, keep shining.https://twitter.com/risingodegua/status/1290912183287767042 …",,,,1290936128594468864,https://twitter.com/Aminu_Israelb/status/1290936128594468864
